,Brasil,Acre,Amapá,Amazonas,Pará,Rondônia,Roraima,Tocantins,Norte,Alagoas,Bahia,Ceará,Maranhão,Paraíba,Pernambuco,Piauí,Rio Grande do Norte,Sergipe,Nordeste,Espirito Santo,Minas Gerais,Rio de Janeiro,São Paulo,Sudeste,Paraná,Rio Grande do Sul,Santa Catarina,Sul,Distrito Federal,Goiás,Mato Grosso,Mato Grosso do Sul,Centro-Oeste
,BR,AC,AP,AM,PA,RO,RR,TO,(N),AL,BA,CE,MA,PB,PE,PI,RN,SE,(NE),ES,MG,RJ,SP,(SE),PR,RS,SC,(S),DF,GO,MT,MS,(CO)
30/3,23,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,4,0,1,1,15,17,1,2,-1,2,0,0,0,0,0
31/3,42,0,0,2,0,1,0,0,3,1,1,2,0,0,0,1,0,0,5,0,1,5,23,29,0,1,1,2,2,0,0,1,3
1/4,39,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,5,0,1,5,28,34,0,0,0,0,0,0,0,0,0
2/4,59,0,0,0,1,0,0,0,1,0,1,12,0,0,1,0,0,2,16,1,1,13,24,39,1,1,0,2,1,0,0,0,1
3/4,60,0,0,4,0,0,0,0,4,1,2,2,0,0,1,0,2,0,8,3,2,6,31,42,0,0,3,3,1,1,1,0,3
4/4,73,0,1,5,0,0,1,0,7,0,2,0,0,1,4,0,1,0,8,1,0,11,41,53,2,1,0,3,2,0,0,0,2
5/4,54,0,1,2,0,0,0,0,3,0,2,4,1,2,7,0,2,1,19,1,0,6,15,22,3,1,5,9,0,1,0,0,1
6/4,67,0,0,5,2,0,0,0,7,0,1,3,0,0,9,0,0,1,14,0,3,7,29,39,2,0,0,2,3,2,0,0,5
7/4,114,1,0,4,2,0,0,0,7,0,2,2,2,0,4,0,1,0,11,0,2,18,67,87,4,1,1,6,2,0,0,1,3
8/4,133,1,0,7,1,0,0,0,9,0,3,12,7,0,12,1,3,0,38,0,3,17,57,77,2,1,4,7,0,2,0,0,2
9/4,141,0,0,10,1,1,0,0,12,1,4,12,1,3,10,1,0,0,32,0,1,16,68,85,5,3,2,10,1,0,1,0,2
10/4,115,0,0,10,2,0,2,0,14,0,0,3,4,4,9,1,0,0,21,1,2,25,44,72,3,2,1,6,1,1,0,0,2
11/4,68,0,1,3,1,0,0,0,5,0,2,9,5,0,7,0,2,0,25,2,0,8,20,30,1,1,3,5,0,2,1,0,3
12/4,99,0,2,9,3,0,0,0,14,0,0,7,3,2,13,0,2,0,27,0,3,15,28,46,4,1,3,8,0,4,0,0,4
