,Brasil,Acre,Amapá,Amazonas,Pará,Rondônia,Roraima,Tocantins,Norte,Alagoas,Bahia,Ceará,Maranhão,Paraíba,Pernambuco,Piauí,Rio Grande do Norte,Sergipe,Nordeste,Espirito Santo,Minas Gerais,Rio de Janeiro,São Paulo,Sudeste,Paraná,Rio Grande do Sul,Santa Catarina,Sul,Distrito Federal,Goiás,Mato Grosso,Mato Grosso do Sul,Centro-Oeste
,BR,AC,AP,AM,PA,RO,RR,TO,(N),AL,BA,CE,MA,PB,PE,PI,RN,SE,(NE),ES,MG,RJ,SP,(SE),PR,RS,SC,(S),DF,GO,MT,MS,(CO)
15/4,28320,101,334,1554,384,69,114,26,2582,82,807,2157,630,151,1484,75,399,46,5831,557,903,3743,11043,16246,803,747,853,2403,682,304,151,121,1258
16/4,30425,110,362,1719,438,76,142,29,2876,89,951,2386,695,165,1683,91,400,48,6508,754,958,3944,11568,17224,832,780,884,2496,716,318,156,131,1321
17/4,33682,135,370,1809,557,92,164,31,3158,110,1059,2684,797,195,2006,102,463,53,7469,856,1021,4349,12841,19067,874,802,926,2602,746,335,162,143,1386
18/4,36599,142,393,1897,640,110,201,33,3416,132,1193,3034,1040,205,2193,123,516,71,8507,952,1077,4543,13894,20466,945,831,962,2738,762,378,171,161,1472
19/4,38654,163,416,2044,685,128,222,33,3691,159,1230,3252,1205,236,2459,145,531,83,9300,1099,1154,4765,14267,21285,987,854,975,2816,827,393,174,168,1562
20/4,40581,176,433,2160,902,160,244,34,4109,171,1341,3482,1320,245,2690,158,595,86,10088,1168,1189,4899,14580,21836,1007,889,1025,2921,872,403,181,171,1627
21/4,43079,195,457,2270,1026,199,247,37,4431,210,1489,3716,1396,263,2908,186,608,92,10868,1212,1230,5306,15385,23133,1024,904,1063,2991,881,421,181,173,1656
22/4,45757,214,479,2479,1195,223,280,37,4907,243,1644,3910,1604,301,3298,206,646,117,11969,1313,1283,5552,15914,24062,1063,923,1091,3077,946,438,183,175,1742
23/4,49492,227,548,2888,1267,250,297,37,5514,324,1789,4598,1757,345,3519,217,708,124,13381,1363,1308,6172,16740,25583,1082,994,1115,3191,963,453,221,186,1823
24/4,52995,234,633,3194,1446,290,304,43,6144,413,1962,4800,1951,386,3999,256,754,144,14665,1381,1419,6282,17826,26908,1119,1061,1170,3350,989,486,240,213,1928
25/4,58509,258,685,3635,1579,328,345,50,6880,501,2081,5421,2105,447,4507,297,781,153,16293,1595,1481,6828,20004,29908,1140,1096,1209,3445,1013,506,247,217,1983
26/4,61888,279,798,3833,1867,364,401,58,7600,554,2209,5833,2223,499,4898,331,825,159,17531,1703,1548,7111,20715,31077,1156,1166,1235,3557,1066,573,250,234,2123
27/4,66501,279,842,3928,2128,393,407,67,8044,643,2354,6726,2410,543,5358,364,832,197,19427,1796,1586,7944,21696,33022,1186,1228,1337,3751,1146,616,257,238,2257
28/4,71886,311,918,4337,2262,413,425,79,8745,777,2540,6918,2528,633,5724,408,857,280,20665,1874,1649,8504,24041,36068,1271,1286,1476,4033,1213,661,261,240,2375
29/4,78162,354,1016,4801,2422,433,452,116,9594,957,2646,7267,2804,699,6194,454,1086,337,22444,2107,1758,8869,26158,38892,1348,1368,1995,4711,1275,705,292,249,2521
30/4,85380,404,1080,5254,2876,502,519,137,10772,1044,2851,7606,3190,814,6876,513,1177,447,24518,2465,1827,9453,28698,42443,1407,1466,2085,4958,1356,781,297,255,2689
1/5,91299,486,1121,5723,3176,585,602,164,11857,1226,3085,7879,3506,926,7334,600,1297,517,26370,2662,1935,10166,30374,45137,1447,1529,2104,5080,1466,808,320,261,2855
2/5,96559,553,1187,6062,3460,653,668,191,12774,1372,3315,8309,3805,1034,8145,665,1366,601,28612,2985,2023,10546,31174,46728,1492,1619,2346,5457,1566,825,331,266,2988
