,Brasil,Acre,Amapá,Amazonas,Pará,Rondônia,Roraima,Tocantins,Norte,Alagoas,Bahia,Ceará,Maranhão,Paraíba,Pernambuco,Piauí,Rio Grande do Norte,Sergipe,Nordeste,Espirito Santo,Minas Gerais,Rio de Janeiro,São Paulo,Sudeste,Paraná,Rio Grande do Sul,Santa Catarina,Sul,Distrito Federal,Goiás,Mato Grosso,Mato Grosso do Sul,Centro-Oeste
,BR,AC,AP,AM,PA,RO,RR,TO,(N),AL,BA,CE,MA,PB,PE,PI,RN,SE,(NE),ES,MG,RJ,SP,(SE),PR,RS,SC,(S),DF,GO,MT,MS,(CO)
1/11,160074,693,748,4555,6751,1457,692,1097,15993,2242,7645,9360,4061,3107,8632,2404,2578,2211,42240,3862,9038,20611,39331,72842,5222,5804,3122,14148,3688,5759,3802,1602,14851
2/11,160253,693,749,4565,6758,1457,692,1097,16011,2246,7667,9362,4070,3108,8638,2420,2582,2217,42310,3864,9047,20636,39346,72893,5232,5805,3129,14166,3695,5762,3807,1609,14873
3/11,160496,695,751,4573,6762,1460,692,1100,16033,2250,7690,9362,4081,3119,8643,2432,2583,2223,42383,3874,9050,20651,39364,72939,5258,5844,3139,14241,3707,5762,3819,1612,14900
4/11,161106,696,751,4588,6767,1464,693,1105,16064,2254,7711,9370,4091,3130,8667,2441,2588,2228,42480,3884,9069,20759,39549,73261,5269,5903,3163,14335,3719,5797,3828,1622,14966
5/11,161736,697,751,4607,6773,1470,695,1108,16101,2258,7731,9386,4101,3138,8687,2450,2594,2231,42576,3896,9128,20849,39717,73590,5293,5954,3173,14420,3728,5851,3841,1629,15049
6/11,162015,697,751,4607,6779,1473,695,1108,16110,2262,7754,9393,4112,3146,8711,2459,2598,2235,42670,3910,9199,20849,39717,73675,5330,5973,3173,14476,3733,5869,3848,1634,15084
7/11,162269,699,751,4622,6784,1474,695,1112,16137,2266,7776,9391,4119,3150,8724,2464,2598,2239,42727,3919,9204,20905,39717,73745,5362,5990,3202,14554,3740,5874,3858,1634,15106
8/11,162397,699,751,4625,6790,1476,695,1114,16150,2270,7796,9395,4125,3154,8732,2467,2599,2243,42781,3926,9204,20905,39717,73752,5392,5992,3211,14595,3752,5874,3859,1634,15119
9/11,162628,701,764,4644,6795,1478,695,1114,16191,2274,7818,9404,4130,3160,8740,2470,2601,2244,42841,3938,9204,20905,39717,73764,5470,5997,3231,14698,3759,5874,3867,1634,15134
10/11,162802,704,766,4650,6799,1482,695,1115,16211,2278,7838,9416,4138,3166,8763,2482,2607,2246,42934,3951,9204,20905,39717,73777,5470,6001,3243,14714,3775,5874,3877,1640,15166
11/11,163373,705,770,4655,6802,1486,701,1120,16239,2282,7859,9418,4146,3178,8773,2486,2610,2247,42999,3968,9204,20970,39907,74049,5563,6034,3268,14865,3788,5900,3888,1645,15221
12/11,164281,707,771,4655,6806,1492,705,1125,16261,2285,7882,9430,4154,3187,8794,2499,2613,2250,43094,3980,9259,21090,40202,74531,5610,6125,3282,15017,3797,5936,3971,1674,15378
13/11,164737,707,774,4683,6808,1497,705,1128,16302,2288,7902,9432,4162,3193,8805,2516,2638,2254,43190,3992,9405,21162,40202,74761,5610,6168,3298,15076,3808,5936,3981,1683,15408
14/11,165658,708,777,4693,6817,1501,706,1133,16335,2291,7922,9439,4171,3199,8815,2523,2640,2257,43257,3998,9504,21284,40549,75335,5691,6215,3309,15215,3813,6030,3985,1688,15516
15/11,165798,708,777,4697,6827,1501,706,1137,16353,2295,7943,9439,4178,3204,8827,2524,2641,2259,43310,4009,9507,21294,40564,75374,5697,6219,3318,15234,3817,6034,3986,1690,15527
16/11,166014,708,780,4700,6832,1503,706,1137,16366,2298,7967,9440,4187,3211,8838,2530,2643,2260,43374,4026,9517,21301,40576,75420,5728,6243,3330,15301,3825,6037,3998,1693,15553
17/11,166699,709,782,4723,6838,1508,709,1141,16410,2301,7989,9448,4195,3216,8854,2541,2643,2263,43450,4037,9531,21474,40749,75791,5758,6314,3370,15442,3837,6071,4001,1697,15606
18/11,167455,709,783,4728,6844,1511,709,1144,16428,2304,8013,9461,4203,3223,8873,2554,2649,2266,43546,4058,9605,21698,40927,76288,5793,6356,3384,15533,3845,6107,4009,1699,15660
19/11,168061,710,785,4741,6851,1513,711,1146,16457,2308,8038,9467,4210,3232,8890,2556,2651,2270,43622,4080,9648,21806,41074,76608,5827,6410,3405,15642,3852,6159,4016,1705,15732
20/11,168613,711,787,4761,6855,1515,720,1147,16496,2311,8061,9477,4218,3236,8899,2568,2657,2274,43701,4101,9688,21938,41179,76906,5832,6447,3435,15714,3857,6201,4025,1713,15796
21/11,168989,713,789,4771,6861,1516,720,1148,16518,2314,8081,9487,4224,3244,8920,2574,2658,2274,43776,4114,9732,21971,41256,77073,5846,6487,3459,15792,3862,6224,4026,1718,15830
22/11,169183,713,789,4779,6865,1518,720,1148,16532,2317,8102,9485,4232,3248,8923,2579,2660,2275,43821,4128,9777,21974,41267,77146,5853,6494,3471,15818,3867,6244,4033,1722,15866
23/11,169485,714,792,4797,6871,1522,720,1148,16564,2321,8123,9492,4241,3256,8926,2584,2660,2279,43882,4148,9794,22028,41276,77246,5879,6524,3494,15897,3882,6246,4041,1727,15896
24/11,170115,715,795,4818,6875,1529,721,1151,16604,2324,8143,9492,4248,3261,8951,2591,2664,2283,43957,4171,9804,22141,41455,77571,5930,6573,3530,16033,3898,6263,4051,1738,15950
25/11,170769,721,799,4826,6880,1534,722,1153,16635,2326,8165,9530,4256,3268,8971,2596,2665,2288,44065,4185,9858,22256,41601,77900,5978,6639,3561,16178,3906,6288,4055,1742,15991
